Evidence_topic_id,Article_topic_id,Evidence_text
Evidence_Covid_B2.0_30,covid vaccine_4079,"""Our vaccination findings have shown exciting potential in pre-clinical studies, improving protection against SARS-CoV-2 infection. The approach developed here could help break the COVID-19 infection cycle and will likely influence future coronavirus vaccine related studies,"" Professor Britton said."
Evidence_Covid_B2.0_31,covid vaccine_4085,"Until the development of long-lasting, “universal” coronavirus vaccines, our best strategy for protection against infection, hospitalization and death is staying up to date with our booster shots."
Evidence_Covid_B2.0_32,covid vaccine_4145,"In addition, the newer booster vaccines provide significant additional protection against infection in seniors when compared to the original vaccines alone, according to investigators with the Centers for Disease Control and Prevention."
Evidence_Covid_B2.0_33,covid vaccine_4145,"For those aged 50 to 64 years, protection derived from the bivalent booster dose compared to monovalent vaccines rose from 31% at two to three months after receipt of the most recent monovalent dose to 48% at eight months. "
Evidence_Covid_B2.0_34,covid vaccine_4145,"The relative increase in protection from the bivalent vaccines is likely due to the waning of the monovalent vaccines’ effectiveness over time, wrote Tamara Pilishvili, PhD, of the CDC’s National Center for Immunization and Respiratory Diseases."
Evidence_Covid_B2.0_35,covid vaccine_4145,"“All persons should stay up-to-date with recommended COVID-19 vaccines, including bivalent booster doses, if it has been two or more months since their last monovalent vaccine dose,” she and her colleagues concluded."
Evidence_Covid_B2.0_36,covid vaccine_4145,"The updated, bivalent vaccine is currently the preferred booster."
Evidence_Covid_B2.0_37,covid vaccine_4090,No association was detected between COVID-19 vaccination and herpes zoster infection in a database study involving more than 2 million individuals in the U.S.
Evidence_Covid_B2.0_38,covid vaccine_4090,"Using a self-controlled risk interval (SCRI) analysis, the risk of herpes zoster in the month after receiving a dose of COVID-19 vaccine was no different when compared with a control period 60 to 90 days following an individuals' last dose (incidence rate ratio [IRR] 0.91, 95% CI 0.82-1.01, P=0.08), reported Nisha Acharya, MD, MS, of the University of California San Francisco, and colleagues."
Evidence_Covid_B2.0_39,covid vaccine_4090,"""There was no increase in risk of herpes zoster after COVID-19 vaccination when individuals were stratified by age, immunocompromised status, or type of vaccine administered,"" the group wrote in JAMA Network Openopens in a new tab or window."
Evidence_Covid_B2.0_40,covid vaccine_4090,"For example, an international matched cohort studyopens in a new tab or window involving more than 1 million vaccinated individuals detected a nearly twofold higher risk of shingles within 60 days of COVID-19 vaccination."
Evidence_Covid_B2.0_41,covid vaccine_4090,"a large case-control study from Israelopens in a new tab or window that involved nearly 900,000 vaccinated individuals and an equal number of comparators reported a 43% higher risk of herpes zoster after vaccination"
Evidence_Covid_B2.0_42,covid vaccine_4090,"""Our study included a racially and ethnically heterogenous cohort compared with the studies conducted in Israel and may therefore better represent post-vaccination herpes zoster event risk in diverse populations,"" according to the researchers."
Evidence_Covid_B2.0_43,covid vaccine_4090,"For example, an international matched cohort studyopens in a new tab or window involving more than 1 million vaccinated individuals detected a nearly twofold higher risk of shingles within 60 days of COVID-19 vaccination."
Evidence_Covid_B2.0_44,covid vaccine_4090,"a large case-control study from Israelopens in a new tab or window that involved nearly 900,000 vaccinated individuals and an equal number of comparators reported a 43% higher risk of herpes zoster after vaccination"
Evidence_Covid_B2.0_45,covid vaccine_4090,"""Our study included a racially and ethnically heterogenous cohort compared with the studies conducted in Israel and may therefore better represent post-vaccination herpes zoster event risk in diverse populations,"" according to the researchers."
Evidence_Covid_B2.0_46,covid vaccine_4090,No association was detected between COVID-19 vaccination and herpes zoster infection in a database study involving more than 2 million individuals in the U.S.
Evidence_Covid_B2.0_47,covid vaccine_4090,"Using a self-controlled risk interval (SCRI) analysis, the risk of herpes zoster in the month after receiving a dose of COVID-19 vaccine was no different when compared with a control period 60 to 90 days following an individuals' last dose (incidence rate ratio [IRR] 0.91, 95% CI 0.82-1.01, P=0.08), reported Nisha Acharya, MD, MS, of the University of California San Francisco, and colleagues."
Evidence_Covid_B2.0_48,covid vaccine_4090,"""There was no increase in risk of herpes zoster after COVID-19 vaccination when individuals were stratified by age, immunocompromised status, or type of vaccine administered,"" the group wrote in JAMA Network Openopens in a new tab or window."
Evidence_Covid_B2.0_49,covid vaccine_4091,US health chiefs revealed last month they were 'monitoring' a new Covid variant that is feared to be the 'most vaccine-resistant yet'.
Evidence_Covid_B2.0_50,covid vaccine_4091,XBB is another spin-off of the Omicron variant and has been blamed for Singapore's sudden surge in infections.
Evidence_Covid_B2.0_51,covid vaccine_4091,The alarm has been sounded by experts including Dr Raj Rajnarayanan at the New York Institute of Technology who said it was the 'most immune evasive yet'.
Evidence_Covid_B2.0_52,covid vaccine_4091,Scientists warn that it is likely better at dodging immunity than others based on lab tests of its grand-father BA.2.75.
Evidence_Covid_B2.0_53,covid vaccine_4091,"Modelling by the Fred Hutchinson Cancer Center's Bloom Lab in Seattle, Washington, also warned it was likely better at immune escape. "
Evidence_Covid_B2.0_54,covid vaccine_4091,XBB is another spin-off of the Omicron variant and was blamed for Singapore's sudden surge in infections.
Evidence_Covid_B2.0_55,covid vaccine_4093,Several studies have reported the presence of antibodies against the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in human milk after lactating women have received two doses of messenger ribonucleic acid (mRNA)-based coronavirus disease 2019 (COVID-19) vaccines.
Evidence_Covid_B2.0_56,covid vaccine_4093,"More specifically, IgG and IgA against the SARS-CoV-2 spike protein have been identified in human milk following vaccination and infection."
Evidence_Covid_B2.0_57,covid vaccine_4093,Further information is needed on the duration and potency of antibody responses in breast milk beyond the second vaccination and the effect of hybrid immunity obtained by breakthrough infections during the Omicron era.
Evidence_Covid_B2.0_58,covid vaccine_4093,"Nevertheless, data on the symptomology and immune protection produced following infection and vaccination are limited for breastfeeding infants and lactating individuals."
Evidence_Covid_B2.0_59,covid vaccine_4093,"More information is therefore needed to determine the protection against COVID-19 during the vulnerable months of infancy, the level of antibody transfer to infants and the persistence of anti-SARS-CoV-2 antibodies in milk post-vaccination."
Evidence_Covid_B2.0_60,covid vaccine_4093,A new The Lancet preprint* study assesses anti-SARS-CoV-2 antibody levels in breast milk obtained from lactating individuals following two or three COVID-19 vaccine doses and following breakthrough infections in vaccinated mothers. 
Evidence_Covid_B2.0_61,covid vaccine_4096,"“There was a great need to protect these patients, particularly through vaccination,” Dr. Hazenberg says. “At the same time, it was unclear if patients would be able to build up sufficient protection through vaccination since they are immunocompromised. There is not much data on the effect of vaccination as it pertains to the most immunocompromised patients. Therefore, there was a great need to investigate the immunogenicity of COVID-19 vaccinations in patients with hematologic malignancies.”"
Evidence_Covid_B2.0_62,covid vaccine_4096,"For a study published in JAMA Oncology, Dr. Hazenberg and colleagues investigated whether a third mRNA-1273 vaccination is linked with increased neutralization of antibody concentrations in patients with hematologic cancers who are immunocompromised compared with levels obtained in healthy controls after the standard two-dose mRNA vaccination schedule."
Evidence_Covid_B2.0_63,covid vaccine_4096,"“Antibody concentrations obtained from our patients after the standard two-dose vaccination were lower than in the healthy population, but nevertheless, much higher than expected,”"
Evidence_Covid_B2.0_64,covid vaccine_4096,"When three-dose schedule antibody concentrations are reached in immunocompromised patients, they are comparable to those of healthy controls after two doses, she says, adding that vaccination should not be deferred in patients with hematologic conditions during a pandemic, or in patients receiving immunochemotherapy or transplantation."
Evidence_Covid_B2.0_65,covid vaccine_4096,"“In patients receiving B cell-depleting therapies, vaccination can be effective, partly because other immune cells, such as T cells, are activated.”"
Evidence_Covid_B2.0_66,covid vaccine_4096,"A relatively small group of patients had extremely poor antibody responses, the study team observed. “It’s important to protect these individuals from infection by wearing masks and utilizing other infection prevention measures,” Dr. Hazenberg says."
Evidence_Covid_B2.0_67,covid vaccine_4097,"Butler said the Australian Technical Advisory Group on Immunisations (ATAGI) had recommended against a fifth dose, or third booster, after evidence from Singapore's recent wave showed that severe illness and death were rare among the vaccinated and that a fifth shot had minimal impact on virus transmission."
Evidence_Covid_B2.0_68,covid vaccine_4185,"We need to improve the quality of the vaccines, the durability, the ability to stop transmission"
Evidence_Covid_B2.0_69,covid vaccine_4185,The boosters are not really providing any prolonged protection against transmission
Evidence_Covid_B2.0_70,covid vaccine_4185,"You could have one now and by mid-January you'd be getting very little protection against transmissions whereas, interestingly, natural infection is much more effective."
Evidence_Covid_B2.0_71,covid vaccine_4267,Biden and his top advisers have pointed to the overwhelming body of scientific research showing the vaccines are safe and effective at stopping the transmission of the coronavirus
Evidence_Covid_B2.0_72,covid vaccine_4266,a virus that has become even more transmissible as it has mutated
Evidence_Covid_B2.0_73,covid vaccine_4097,Australian health authorities have recommended against getting a fifth COVID-19 vaccine shot
Evidence_Covid_B2.0_74,covid vaccine_4097,Butler said the Australian Technical Advisory Group on Immunisations (ATAGI) had recommended against a fifth dose
Evidence_Covid_B2.0_75,covid vaccine_4097,"ATAGI has considered international evidence as well as the local data around vaccination numbers, as well as case numbers in the pandemic and decided not to recommend a fifth dose, said Butler."
Evidence_Covid_B2.0_76,covid vaccine_4105,fifth vaccine dose has not been recommended by the Australian Technical Advisory Group of Immunisation [Atagi] 
Evidence_Covid_B2.0_77,covid vaccine_4105,"This was part of the evidence that led to Atagi’s decision not to recommend a fifth vaccine dose, he said"
Evidence_Covid_B2.0_78,covid vaccine_4260,Young Australians have been left doctor-shopping for health professionals willing to flout the rules and give them a fourth Covid vaccination.
Evidence_Covid_B2.0_79,covid vaccine_4100,"Those at higher risk of serious symptoms from Covid-19 and flu include people with lung problems including asthma or chronic obstructive pulmonary disorder, people with heart disease, chronic kidney or liver disease, cancer, a weakened immune system or people who have had a stroke or those living with dementia."
Evidence_Covid_B2.0_80,covid vaccine_4100,These individuals may suffer more severely if they catch either flu or Covid-19
Evidence_Covid_B2.0_81,covid vaccine_4118,"It found that if a person caught Covid after having had it before they were more likely to have issues with their lungs, heart, brain, blood, muscles and digestive system than if they never had the infection before."
Evidence_Covid_B2.0_82,covid vaccine_4118,"Researchers found that lung problems were three-and-a-half times more likely, heart problems three times more likely and brain issues one-and-a-half times more likely in people who had multiple infections from the virus"
Evidence_Covid_B2.0_83,covid vaccine_4126,"Some of the medical conditions that increased patients’ susceptibility to COVID-19 included cardiovascular risk factors or disease, immunocompromised state, and cancers."
Evidence_Covid_B2.0_84,covid vaccine_4209,"more vulnerable to severe disease, including diabetes, heart disease"
Evidence_Covid_B2.0_85,covid vaccine_4100,"Those at higher risk of serious symptoms from Covid-19 and flu include people with lung problems including asthma or chronic obstructive pulmonary disorder, people with heart disease, chronic kidney or liver disease, cancer, a weakened immune system or people who have had a stroke or those living with dementia."
Evidence_Covid_B2.0_86,covid vaccine_4100,These individuals may suffer more severely if they catch either flu or Covid-19
Evidence_Covid_B2.0_87,covid vaccine_4118,"It found that if a person caught Covid after having had it before they were more likely to have issues with their lungs, heart, brain, blood, muscles and digestive system than if they never had the infection before."
Evidence_Covid_B2.0_88,covid vaccine_4126,"Some of the medical conditions that increased patients’ susceptibility to COVID-19 included cardiovascular risk factors or disease, immunocompromised state, and cancers."
Evidence_Covid_B2.0_89,covid vaccine_4126,Many patients with hematological malignancies remain at an increased risk for COVID-19 due to the nature of their illness and/or current treatments. 
Evidence_Covid_B2.0_90,covid vaccine_4211,"We saw almost 300% increase in cancer over the five-year average,"
Evidence_Covid_B2.0_91,covid vaccine_4103,AFC Agro Biotech has claimed that the government would buy two crore doses of the Covid-19 vaccine from the company but the health ministry said it has no such plan at this moment
Evidence_Covid_B2.0_92,covid vaccine_4103,"AFC Agro Biotech also said it wrote to the prime minister and the health ministry to give their consent to the government to buy the vaccine. In view of this, consent has been given from the Prime Minister's Office"
Evidence_Covid_B2.0_93,covid vaccine_4103,we applied to the government last year. Yesterday we got the consent of the government.
Evidence_Covid_B2.0_94,covid vaccine_4103,The government does not want to buy the coronavirus vaccine
Evidence_Covid_B2.0_95,covid vaccine_4103,But we will not take any vaccine at this moment.
Evidence_Covid_B2.0_96,covid vaccine_4103,I would know if there were any decision to purchase vaccines. But I don't know anything about this.
Evidence_Covid_B2.0_97,covid vaccine_4105,Covid had taken a toll on aged care staff
Evidence_Covid_B2.0_98,covid vaccine_4105,"aged care staff, who were still not being properly paid"
Evidence_Covid_B2.0_99,covid vaccine_4105,Burnout and fatigue are ongoing concerns
Evidence_Covid_B2.0_100,covid vaccine_4105,Aged care workers carry the emotional burden of a higher number of deaths of residents
Evidence_Covid_B2.0_101,covid vaccine_4105,a fresh round of Covid will continue to place enormous pressure on aged care workers.
Evidence_Covid_B2.0_102,covid vaccine_4105,"So these workers get a renewed Covid surge, so far no pay rise, understaffing at ridiculous levels – it’s been a tough year for them,"
Evidence_Covid_B2.0_103,covid vaccine_4108,The NBA is being sued by three longtime refs who say they have been fired after selecting to not obtain the COVID-19 vaccine
Evidence_Covid_B2.0_104,covid vaccine_4108,"In a complaint filed on Saturday, Kenny Mauer, Mark Ayotte, and Jason Phillips said the league improperly forced compliance with its “hygienic norms,” and wrongly concluded that their sincere religious objections fell short of its “high standard” against being vaccinated."
Evidence_Covid_B2.0_105,covid vaccine_4108,"The referees added that even with the NBA rescinding the requirement for a COVID vaccine for the 2022-23 season, they have not been reinstated"
Evidence_Covid_B2.0_106,covid vaccine_4203,I plan on voting for the NBA because I believe this is gonna get done
Evidence_Covid_B2.0_107,covid vaccine_4203,This question is for those of you who typically vote for the NBA
Evidence_Covid_B2.0_108,covid vaccine_4108,"The lawsuit particularly accuses the NBA of violating federal civil rights legislation in addition to state and New York City human rights legal guidelines. It seeks front and back pay, punitive damages, and damages for reputational harm and for pain and suffering."
Evidence_Covid_B2.0_109,covid vaccine_4110,one in five people hit by the Covid-19 virus are showing symptoms of diarrhoea
Evidence_Covid_B2.0_110,covid vaccine_4110,people who have contracted the Delta or Omicron variant are experiencing the symptom if they have had two or three Covid vaccines
Evidence_Covid_B2.0_111,covid vaccine_4110,"In the Alpha wave, nearly a third of adults aged over 35 (30 per cent) reported experiencing diarrhoea with Covid"
Evidence_Covid_B2.0_112,covid vaccine_4110,one in five people (16 to 20 per cent) experiencing diarrhoea with either Delta or Omicron
Evidence_Covid_B2.0_113,covid vaccine_4110,We think COVID causes diarrhoea because the virus can invade cells in the gut and disrupt its normal function
Evidence_Covid_B2.0_114,covid vaccine_4094,said the test would also be useful for those people experiencing Long Covid symptoms
Evidence_Covid_B2.0_115,covid vaccine_4113,Pfizer-BioNTech’s new bivalent Covid-19 vaccine—which targets the original strain and some Omicron subvariants—provides more protection against the virus and its omicron variants than its initial vaccine
Evidence_Covid_B2.0_116,covid vaccine_4113,"A booster dose of the Omicron BA.4- and BA.5-adapted Covid-19 vaccine was 11 times more effective against the BA.4.6 subvariant, nearly seven times more effective against the BA.2.75.2 subvariant, nine times as effective against the BQ.1.1 subvariant and almost five times more effective against the XBB.1 subvariant than the original vaccine."
Evidence_Covid_B2.0_117,covid vaccine_4113,earlier data from Pfizer suggesting the new shot is 13 times more effective against the BA.4 and BA.5 subvariants
Evidence_Covid_B2.0_118,covid vaccine_4113,"The bivalent vaccine, which is referred to by the FDA as an “updated” vaccine, is a combination of an original virus strain with a component of an omicron variant to combat all possible versions of the virus. P"
Evidence_Covid_B2.0_119,covid vaccine_4145,"In addition, the newer booster vaccines provide significant additional protection against infection in seniors when compared to the original vaccines alone, according to investigators with the Centers for Disease Control and Prevention."
Evidence_Covid_B2.0_120,covid vaccine_4145,"the effectiveness of a newer, bivalent booster dose compared to monovalent boosters rose from 23% at two to three months after the recipient’s most recent monovalent dose to 43% at eight months after the most recent monovalent dose."
Evidence_Covid_B2.0_121,covid vaccine_4114,"SK bioscience, a biotech affiliate of SK Group, said Wednesday that it has temporarily halted the production of SKY Covione, a COVID-19 vaccine"
Evidence_Covid_B2.0_122,covid vaccine_4114,"We have halted the production of the vaccine except for key ingredients needed to meet demands upon approval of international health agencies, a SK bioscience official said."
Evidence_Covid_B2.0_123,covid vaccine_4114,The SK affiliate sought to supply locally produced vaccines to the global market through the COVID-19 Vaccines Global Access (COVAX) initiative
Evidence_Covid_B2.0_124,covid vaccine_4114,"The SK affiliate said the product will have a competitive edge in the global market, in need of a steady and stable supply of the key vaccine in the months to come."
Evidence_Covid_B2.0_125,covid vaccine_4114,SKY Covione was developed jointly by the SK affiliate and the Institute for Protein Design (IPD) under the University of Washington.
Evidence_Covid_B2.0_126,covid vaccine_4114,"The government has yet to make any orders after it bought 610,000 doses, only a fraction of the 10 million doses it earlier said it would buy, according to the firm."
Evidence_Covid_B2.0_127,covid vaccine_4114,"SK bioscience, a biotech affiliate of SK Group, said Wednesday that it has temporarily halted the production of SKY Covione, a COVID-19 vaccine"
Evidence_Covid_B2.0_128,covid vaccine_4114,"We have halted the production of the vaccine except for key ingredients needed to meet demands upon approval of international health agencies, a SK bioscience official said."
Evidence_Covid_B2.0_129,covid vaccine_4114,The SK affiliate sought to supply locally produced vaccines to the global market through the COVID-19 Vaccines Global Access (COVAX) initiative
Evidence_Covid_B2.0_130,covid vaccine_4114,"The SK affiliate said the product will have a competitive edge in the global market, in need of a steady and stable supply of the key vaccine in the months to come."
Evidence_Covid_B2.0_131,covid vaccine_4114,SKY Covione was developed jointly by the SK affiliate and the Institute for Protein Design (IPD) under the University of Washington.
Evidence_Covid_B2.0_132,covid vaccine_4114,"The government has yet to make any orders after it bought 610,000 doses, only a fraction of the 10 million doses it earlier said it would buy, according to the firm."
Evidence_Covid_B2.0_133,covid vaccine_4115,Research shows that a few people with eczema may get a flare-up after getting a COVID-19 vaccine
Evidence_Covid_B2.0_134,covid vaccine_4115,Certain studies seem to indicate that a few adults with eczema may experience a flare-up or breakthrough symptoms after receiving the COVID-19 vaccine
Evidence_Covid_B2.0_135,covid vaccine_4115,"It is possible, although rare, that breakthrough symptoms of eczema can occur in people who have the skin condition before receiving the COVID-19 vaccination."
Evidence_Covid_B2.0_136,covid vaccine_4115,researchers recorded cases of eczema flare-ups in adults who received a COVID-19 vaccine
Evidence_Covid_B2.0_137,covid vaccine_4115,The National Eczema Society acknowledged multiple reports of people’s worsening eczema symptoms after getting the COVID-19 vaccine.
Evidence_Covid_B2.0_138,covid vaccine_4115,"the general eczema reactions to the vaccines appear to be manageable with medication, which is why it is important to consult your doctor if you think you’re experiencing a reaction."
Evidence_Covid_B2.0_139,covid vaccine_4116,"A recent study revealed that people earlier infected with the SARS-CoV-2 virus still benefit from vaccination against COVID-19, gaining 60% to 94% protection against reinfection"
Evidence_Covid_B2.0_140,covid vaccine_4116,Vaccination provided protection against reinfection
Evidence_Covid_B2.0_141,covid vaccine_4116,vaccination provided up to 71% protection against reinfection
Evidence_Covid_B2.0_142,covid vaccine_4116,we find a significant vaccine effectiveness against SARS-CoV-2 reinfection
Evidence_Covid_B2.0_143,covid vaccine_4116,"These findings demonstrate that vaccination provided additional protection against SARS-CoV-2 during each of the three waves of the pandemic, beyond those provided by natural immunity. "
Evidence_Covid_B2.0_144,covid vaccine_4116,Even though vaccination seems to protect to a lesser degree against reinfection with the Omicron variant
Evidence_Covid_B2.0_145,covid vaccine_4116,researchers believed that the study was too brief to assess whether the vaccine offers protection against serious consequences including hospitalisation and death.
Evidence_Covid_B2.0_146,covid vaccine_4140,An official said at a press conference that vaccination is still effective in preventing severe illness and death
Evidence_Covid_B2.0_147,covid vaccine_4143,"many people have claimed that vaccinated people are now more likely to die from the virus than those who are unvaccinated, contradicting longstanding public health guidance. "
Evidence_Covid_B2.0_148,covid vaccine_4146,CMS and HHS officials have said repeatedly that being up-to-date on COVID vaccines reduces the chance of being hospitalized or dying from the virus.
Evidence_Covid_B2.0_149,covid vaccine_4158,"According to the World Health Organization, Covid-19 vaccines are ""highly effective"" in preventing serious illness, hospitalisation and death,"
Evidence_Covid_B2.0_150,covid vaccine_4163,"The Pfizer-BioNTech COVID-19 vaccine limits transmission, hospitalization, and death from COVID-19 even among patients infected by variants of the virus"
Evidence_Covid_B2.0_151,covid vaccine_4119,Māori and Pacific people over the age of 40 will be able to book their second booster. Ministry of Health data showed those groups were twice as likely to die from the virus
Evidence_Covid_B2.0_152,covid vaccine_4119,The expanded rollout was based on recent data which showed Māori and Pacific populations were at greater risk of severe health outcomes in the event they contracted Covid-19.
Evidence_Covid_B2.0_153,covid vaccine_4119,"Māori and Pacific have two- and three-times the hospitalisation rate compared to non-Māori, non-Pacific; and two- or three-times the death rate due to Covid."
Evidence_Covid_B2.0_154,covid vaccine_4124,"However, older adults are uniquely vulnerable to COVID-related complications and death."
Evidence_Covid_B2.0_155,covid vaccine_4143,"“As we get older, especially over 65…our risk of severe disease or death goes up a lot, which is why it’s so important for those populations to get vaccinated,” "
Evidence_Covid_B2.0_156,covid vaccine_4146,CMS and HHS officials have said repeatedly that being up-to-date on COVID vaccines reduces the chance of being hospitalized or dying from the virus.
Evidence_Covid_B2.0_157,covid vaccine_4119,Māori and Pacific people over the age of 40 will be able to book their second booster. Ministry of Health data showed those groups were twice as likely to die from the virus
Evidence_Covid_B2.0_158,covid vaccine_4119,The expanded rollout was based on recent data which showed Māori and Pacific populations were at greater risk of severe health outcomes in the event they contracted Covid-19.
Evidence_Covid_B2.0_159,covid vaccine_4119,"Māori and Pacific have two- and three-times the hospitalisation rate compared to non-Māori, non-Pacific; and two- or three-times the death rate due to Covid."
Evidence_Covid_B2.0_160,covid vaccine_4124,"However, older adults are uniquely vulnerable to COVID-related complications and death."
Evidence_Covid_B2.0_161,covid vaccine_4143,"“As we get older, especially over 65…our risk of severe disease or death goes up a lot, which is why it’s so important for those populations to get vaccinated,” "
Evidence_Covid_B2.0_162,covid vaccine_4146,CMS and HHS officials have said repeatedly that being up-to-date on COVID vaccines reduces the chance of being hospitalized or dying from the virus.
Evidence_Covid_B2.0_163,covid vaccine_4123,"As successful as the COVID-19 vaccines have been in curbing the pandemic, their benefits haven’t been enjoyed equally by people around the globe."
Evidence_Covid_B2.0_164,covid vaccine_4123,"Throughout the pandemic—and even now—vaccine development and distribution has been undeniably lopsided, skewed in favor of developed countries with the resources to create, test, manufacture, and distribute shots when the need arises. "
Evidence_Covid_B2.0_165,covid vaccine_4123,"In the third year of pandemic, while nearly 70% of people worldwide have received at least one COVID-19 vaccine dose, in low-income countries, only 24% have."
Evidence_Covid_B2.0_166,covid vaccine_4123,"In its latest report on the global vaccine market, which includes an assessment of vaccines against COVID-19 and a variety of infectious diseases, the World Health Organization (WHO) calls upon both governments and companies to reshape the vaccine market to equalize these discrepancies."
Evidence_Covid_B2.0_167,covid vaccine_4170,"As successful as the COVID-19 vaccines have been in curbing the pandemic, their benefits haven’t been enjoyed equally by people around the globe."
Evidence_Covid_B2.0_168,covid vaccine_4170,"Throughout the pandemic—and even now—vaccine development and distribution has been undeniably lopsided, skewed "
Evidence_Covid_B2.0_169,covid vaccine_4129,venting on a recent podcast interview that his refusal to get “the jab”
Evidence_Covid_B2.0_170,covid vaccine_4129,which was pulled after he refused to get “the jab.”
Evidence_Covid_B2.0_171,covid vaccine_4129,"“Those motherfuckers didn’t give it to me because I wouldn’t get the shot,”"
Evidence_Covid_B2.0_172,covid vaccine_4129,"“The covid shot, the jab…I didn’t need it. I didn’t catch that shit at all. Nothing. Fuck them. I didn’t need that shit.”"
Evidence_Covid_B2.0_173,covid vaccine_4129,Cube’s refusal to get vaccinated
Evidence_Covid_B2.0_174,covid vaccine_4242,Tisbury health agent Maura Valley notified The Times that the vaccination bus will return to Martha’s Vineyard Regional High School (MVRHS)
Evidence_Covid_B2.0_175,covid vaccine_4131,Moderna and Pfizer-BioNTech Covid-19 mRNA vaccines
Evidence_Covid_B2.0_176,covid vaccine_4131,Moderna Covid-19 mRNA vaccine being administered to those from two to five years of age
Evidence_Covid_B2.0_177,covid vaccine_4131,this passage may potentially make it seem like the Moderna Covid-19 mRNA vaccine (labeled as mRNA-1273) has been responsible for a higher incidence of RSV infections
Evidence_Covid_B2.0_178,covid vaccine_4145,Drugmakers Pfizer-BioNTech and Moderna later introduced bivalent vaccines
Evidence_Covid_B2.0_179,covid vaccine_4154,regular Pfizer and Moderna COVID vaccines
Evidence_Covid_B2.0_180,covid vaccine_4177,Moderna vaccines
Evidence_Covid_B2.0_181,covid vaccine_4131,Moderna and Pfizer-BioNTech Covid-19 mRNA vaccines
Evidence_Covid_B2.0_182,covid vaccine_4131,third dose of the Pfizer-BioNTech Covid-19 mRNA vaccine
Evidence_Covid_B2.0_183,covid vaccine_4131,difference between those who got the Pfizer-BioNtech Covid-19 mRNA vaccine
Evidence_Covid_B2.0_184,covid vaccine_4145,Drugmakers Pfizer-BioNTech and Moderna later introduced bivalent vaccines
Evidence_Covid_B2.0_185,covid vaccine_4154,regular Pfizer and Moderna COVID vaccines
Evidence_Covid_B2.0_186,covid vaccine_4157,On Dec. 1 and Dec. 2 the AMFC will be offering the Pfizer vaccine and the flu vaccine to those who are 12 years old and older.
Evidence_Covid_B2.0_187,covid vaccine_4132,"offering $75 gift cards to residents accepting a COVID booster, or in some cases getting their very first vaccine."
Evidence_Covid_B2.0_188,covid vaccine_4132,A second clinic with gift cards 
Evidence_Covid_B2.0_189,covid vaccine_4132,"At Saturday’s clinic, that meant handing out $75 gift cards to Walmart, Stop and Shop or Cumberland Farms at anyone receiving a vaccine or booster."
Evidence_Covid_B2.0_190,covid vaccine_4132,Recipients could choose which gift cards they received.
Evidence_Covid_B2.0_191,covid vaccine_4169,200 walk-in vaccination clinics across the state offering $75 gift cards to anyone who gets their shot through the holiday season.
Evidence_Covid_B2.0_192,covid vaccine_4169,Boston vaccine clinics from this summer that offered $75 as an incentive
Evidence_Covid_B2.0_193,covid vaccine_4132,"offering $75 gift cards to residents accepting a COVID booster, or in some cases getting their very first vaccine."
Evidence_Covid_B2.0_194,covid vaccine_4132,A second clinic with gift cards 
Evidence_Covid_B2.0_195,covid vaccine_4132,"At Saturday’s clinic, that meant handing out $75 gift cards to Walmart, Stop and Shop or Cumberland Farms at anyone receiving a vaccine or booster."
Evidence_Covid_B2.0_196,covid vaccine_4132,Recipients could choose which gift cards they received.
Evidence_Covid_B2.0_197,covid vaccine_4169,200 walk-in vaccination clinics across the state offering $75 gift cards to anyone who gets their shot through the holiday season.
Evidence_Covid_B2.0_198,covid vaccine_4169,"kids as young as 5 can get the new bivalent boosters — and they’re eligible for the Get Boosted clinics’ $75 gift cards, too. "
Evidence_Covid_B2.0_199,covid vaccine_4135,Canada will mandate psychiatric medication for people refusing the jab. This is false;
Evidence_Covid_B2.0_200,covid vaccine_4135,encourages physicians to discuss medication or therapy with patients who display anxious and avoidant behaviors -- including debilitating fear of needles -- rather than exempting them from vaccination.
Evidence_Covid_B2.0_201,covid vaccine_4135,"""Canada is going to mandate psychiatric medication for those that refuse mRNA injections or any kind of vaccination,"" "
Evidence_Covid_B2.0_202,covid vaccine_4135,"Canada mandated psychiatric medication for unvaccinated patients, but saying that it was suggested by the CPSO is also misleading."
Evidence_Covid_B2.0_203,covid vaccine_4135,"""This has come out recently out of the College of Physicians and Surgeons of Ontario. The College sent out a letter or a memo to all the doctors in Ontario suggesting to them -- now so far they're not mandating it, they're just suggesting it -- that any of their unvaccinated patients, that they should consider that they have a mental problem and that they should be put on psychiatric medication."""
Evidence_Covid_B2.0_204,covid vaccine_4135,"""This false interpretation that is being disseminated has no basis in fact or reality."""
Evidence_Covid_B2.0_205,covid vaccine_4138,But it still refuses to use Western mRNA vaccines to innoculate the population more quickly. 
Evidence_Covid_B2.0_206,covid vaccine_4138,China's hesitancy to use Western vaccine technology is contributing to the mass protests against its COVID-19 restrictions.
Evidence_Covid_B2.0_207,covid vaccine_4138,hesitancy to use Western vaccine technology may be hampering China's response to the pandemic
Evidence_Covid_B2.0_208,covid vaccine_4138,"Despite that, China is still refusing to approve and distribute Western vaccines to innoculate its citizens."
Evidence_Covid_B2.0_209,covid vaccine_4138,"In lieu of the Western vaccines, which are based on mRNA, China has been relying on its own brand of jabs"
Evidence_Covid_B2.0_210,covid vaccine_4138,Germany this week suggested China should use Western vaccines to speed up the process and protect the country from the virus
